Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963274.752342,0.4212849041685729,0,0,0.0,[-113.78789521],[ 0.        -0.4212849  0.         0.       ]
1733963274.8592708,0.4212849041685729,0,0,0.0,[-110.2621479],[ 0.        -0.4212849  0.         0.       ]
1733963274.9672701,0.4212849041685729,0,0,0.0,[-111.3660183],[ 0.        -0.4212849  0.         0.       ]
1733963275.0765355,0.8425242607403902,0,0,3.855196944800694,[-250.68821641],[ 0.         -0.84252426  0.         -3.85519694]
1733963275.1875525,0.8425242607403902,0,0,0.0,[-228.94312863],[ 0.         -0.84252426  0.          0.        ]
1733963275.2975318,0.4212849041685729,0,0,-3.830166291758926,[-88.0503846],[ 0.         -0.4212849   0.          3.83016629]
1733963275.4084787,0.4212849041685729,0,0,0.0,[-114.40547259],[ 0.        -0.4212849  0.         0.       ]
1733963275.516454,0.41820994149711055,0,0,-0.02847840433307027,[-110.34340283],[ 0.         -0.41820994  0.          0.0284784 ]
1733963275.6265101,0.4212849041685729,0,0,0.027939941016672548,[-113.67207785],[ 0.         -0.4212849   0.         -0.02793994]
1733963275.7372322,0.4212849041685729,0,0,0.0,[-114.17363522],[ 0.        -0.4212849  0.         0.       ]
1733963275.8471696,0.4212849041685729,0,0,0.0,[-113.36454001],[ 0.        -0.4212849  0.         0.       ]
1733963275.956178,0.8425242607403902,0,0,3.864286566523772,[-250.15819059],[ 0.         -0.84252426  0.         -3.86428657]
1733963276.0672688,0.6319131218209577,0,0,-1.8958451298625631,[-159.14888067],[ 0.         -0.63191312  0.          1.89584513]
1733963276.1792421,0.6319131218209577,0,0,0.0,[-173.19188956],[ 0.         -0.63191312  0.          0.        ]
1733963276.287606,0.6319131218209577,0,0,0.0,[-167.60911086],[ 0.         -0.63191312  0.          0.        ]
1733963276.3955402,0.6295986084102765,0,0,-0.021443737271567218,[-166.1937944],[ 0.         -0.62959861  0.          0.02144374]
1733963276.504714,0.6319131218209577,0,0,0.021200269173008383,[-169.00114295],[ 0.         -0.63191312  0.         -0.02120027]
1733963276.6147816,0.6295986084102765,0,0,-0.021028107136843853,[-169.48144446],[ 0.         -0.62959861  0.          0.02102811]
1733963276.7266903,0.4212849041685729,0,0,-1.8614616396468404,[-102.85733557],[ 0.         -0.4212849   0.          1.86146164]
1733963276.8366945,0.8425242607403902,0,0,3.829302951784061,[-252.21191772],[ 0.         -0.84252426  0.         -3.82930295]
1733963276.9456942,0.8425242607403902,0,0,0.0,[-224.78306512],[ 0.         -0.84252426  0.          0.        ]
1733963277.0559783,0.4166892317935833,0,0,-3.8612553160133345,[-86.84737573],[ 0.         -0.41668923  0.          3.86125532]
1733963277.1679797,0.8303154862580016,0,0,3.6930447659379255,[-252.52542678],[ 0.         -0.83031549  0.         -3.69304477]
1733963277.2759762,0.8303154862580016,0,0,0.0,[-219.48681075],[ 0.         -0.83031549  0.          0.        ]
1733963277.3859866,0.6227556872063076,0,0,-1.8867291309200056,[-155.19547543],[ 0.         -0.62275569  0.          1.88672913]
1733963277.4969106,0.6227556872063076,0,0,0.0,[-169.08263248],[ 0.         -0.62275569  0.          0.        ]
1733963277.605377,1.254451622681529,0,0,5.823886589574172,[-371.07279789],[ 0.         -1.25445162  0.         -5.82388659]
1733963277.7173452,0.6250200740174989,0,0,-5.6215166914473675,[-133.40500466],[ 0.         -0.62502007  0.          5.62151669]
1733963277.8270946,0.8363753254224093,0,0,1.925800149435876,[-237.40008366],[ 0.         -0.83637533  0.         -1.92580015]
1733963277.937187,0.8303154862580016,0,0,-0.05504320989999631,[-223.38170834],[ 0.         -0.83031549  0.          0.05504321]
1733963278.0461693,0.41820994149711055,0,0,-3.7813980044252067,[-86.75180581],[ 0.         -0.41820994  0.          3.781398  ]
1733963278.1540954,0.8363753254224093,0,0,3.874551814125844,[-246.11707254],[ 0.         -0.83637533  0.         -3.87455181]
1733963278.2651584,0.4151795411448518,0,0,-3.792404048623746,[-87.51067272],[ 0.         -0.41517954  0.          3.79240405]
1733963278.3741875,0.4166892317935833,0,0,0.013846682003182178,[-111.2922852],[ 0.         -0.41668923  0.         -0.01384668]
1733963278.483176,0.8303154862580016,0,0,3.795135866097743,[-246.40216292],[ 0.         -0.83031549  0.         -3.79513587]
1733963278.5903306,1.0378534933013555,0,0,1.9368089842981304,[-284.7023156],[ 0.         -1.03785349  0.         -1.93680898]
1733963278.7023342,1.254451622681529,0,0,1.9338503171755521,[-356.94599624],[ 0.         -1.25445162  0.         -1.93385032]
