Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963064.9558628,14.339928501342229,0,0,0.0,[-1087.86791002],[  0.        -14.3399285   0.          0.       ]
1733963064.9889312,13.431028870681644,0,0,-27.4854278435909,[-1032.40924286],[  0.         -13.43102887   0.          27.48542784]
1733963065.0209339,12.528807709151522,0,0,-28.19204364697968,[-927.10214359],[  0.         -12.52880771   0.          28.19204365]
1733963065.0528646,10.823011226207086,0,0,-53.421856769731114,[-743.2023581],[  0.         -10.82301123   0.          53.42185677]
1733963065.100925,9.598903068541802,0,0,-25.470194176645172,[-1055.4966014],[ 0.         -9.59890307  0.         25.47019418]
1733963065.1328652,8.365886124032585,0,0,-38.60389426069693,[-579.81783543],[ 0.         -8.36588612  0.         38.60389426]
1733963065.1662076,7.073537674961358,0,0,-38.75995558987789,[-499.48727277],[ 0.         -7.07353767  0.         38.75995559]
1733963065.196207,4.5905431856060375,0,0,-82.76787747209247,[-187.61132029],[ 0.         -4.59054319  0.         82.76787747]
1733963065.229274,1.6723943610892604,0,0,-88.24961091955626,[40.30474864],[ 0.         -1.67239436  0.         88.24961092]
1733963065.2602034,359.1636246745776,0,0,11558.325539546782,[-48710.55337376],[     0.           -359.16362467      0.         -11558.32553955]
1733963065.2932694,357.69262700303784,0,0,-44.48666741940496,[-28861.40255331],[   0.         -357.692627      0.           44.48666742]
1733963065.3242724,355.80999227447614,0,0,-60.72427921917963,[-26887.53038494],[   0.         -355.80999227    0.           60.72427922]
1733963065.3562715,354.1652110031587,0,0,-51.40084242636349,[-27640.54885193],[   0.         -354.165211      0.           51.40084243]
1733963065.3892772,352.0469180285616,0,0,-64.17958259791081,[-28313.52248272],[   0.         -352.04691803    0.           64.1795826 ]
1733963065.4202995,349.9920201985587,0,0,-66.2393552569806,[-26452.20419018],[   0.         -349.9920202     0.           66.23935526]
1733963065.4524813,348.36636600105953,0,0,-50.51480147568168,[-27343.23865108],[   0.         -348.366366      0.           50.51480148]
1733963065.485475,347.0673916032605,0,0,-39.37026514666308,[-27950.43202343],[   0.         -347.0673916     0.           39.37026515]
1733963065.5328214,346.3668864110082,0,0,-14.795335649140794,[-40097.95067928],[   0.         -346.36688641    0.           14.79533565]
1733963065.5647316,346.1651468433413,0,0,-6.322106646121235,[-27025.46976921],[   0.         -346.16514684    0.            6.32210665]
1733963065.6247296,345.76271953423895,0,0,-6.707341435633477,[-50753.23238551],[   0.         -345.76271953    0.            6.70734144]
